crop_type,growth_stage,soil_type,soil_moisture,temperature,humidity,rain_forecast,forecast_rainfall_mm,irrigation_method,disease_context,crop_kc,reference_et0,crop_etc,effective_precipitation_peff,soil_field_capacity,soil_wilting_point,action_code,urgency,water_requirement_mm
Soybean,Maturity,Sandy,5.4,26.5,61.5,Low,4.0,Sprinkler (Overhead),None / Healthy,0.5,2.75,1.38,0.67,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Tomato,Maturity,Clay Loam,28.6,36.4,31.3,None,0.0,Sub-surface Drip,None / Healthy,0.8,5.69,4.55,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,4.49
Corn,Flowering,Sandy Loam,19.1,18.9,71.8,None,0.0,Sprinkler (Overhead),None / Healthy,1.2,2.0,2.4,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,2.53
Tomato,Flowering,Clay Loam,24.5,33.5,37.1,None,0.0,Flood / Surface,None / Healthy,1.15,4.84,5.57,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,6.62
Tomato,Fruiting,Black Soil,40.7,23.8,74.4,Low,5.5,Sub-surface Drip,None / Healthy,1.2,2.01,2.41,1.89,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Rice,Fruiting,Loamy,33.4,30.3,47.9,Moderate,17.3,Sub-surface Drip,None / Healthy,1.2,3.81,4.57,11.37,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Potato,Vegetative,Loamy,28.3,20.6,44.4,None,0.0,Sprinkler (Overhead),None / Healthy,0.8,2.28,1.82,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Flowering,Sandy,22.8,31.8,38.8,Low,3.9,Drip Irrigation,None / Healthy,1.15,4.45,5.12,0.66,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Rice,Flowering,Loamy,10.2,27.8,34.6,Low,4.6,Flood / Surface,None / Healthy,1.25,3.83,4.79,1.19,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,6.01
Tomato,Seedling,Clay Loam,29.9,24.4,21.2,High,43.1,Sub-surface Drip,None / Healthy,0.6,3.55,2.13,32.01,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Pepper Bell,Fruiting,Sandy,12.8,22.9,32.7,None,0.0,Drip Irrigation,Tomato Early Blight,1.1,2.95,3.25,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,3.34
Rice,Vegetative,Sandy Loam,22.1,37.8,30.2,None,0.0,Drip Irrigation,None / Healthy,1.15,6.05,6.96,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Vegetative,Loamy,20.5,31.6,34.6,Low,1.4,Drip Irrigation,Tomato Early Blight,0.7,4.57,3.2,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,3.46
Pepper Bell,Fruiting,Sandy Loam,20.9,18.3,93.6,Low,5.2,Drip Irrigation,Tomato Early Blight,1.1,2.0,2.2,1.66,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Flowering,Clay Loam,27.8,31.4,26.4,Moderate,7.6,Drip Irrigation,Tomato Septoria Leaf Spot,1.2,4.86,5.83,3.55,34.0,18.0,MAINTENANCE_DRIP,Normal,5.5
Potato,Fruiting,Sandy Loam,9.8,34.8,38.8,Moderate,9.0,Drip Irrigation,Tomato Septoria Leaf Spot,1.15,5.03,5.78,4.72,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Wheat,Seedling,Sandy Loam,14.5,34.0,69.5,None,0.0,Sub-surface Drip,Tomato Yellow Leaf Curl Virus,0.4,3.52,1.41,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Cotton,Maturity,Loamy,10.4,14.4,28.7,None,0.0,Drip Irrigation,None / Healthy,0.55,2.0,1.1,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Corn,Maturity,Clay Loam,24.2,23.7,54.9,Moderate,14.1,Drip Irrigation,None / Healthy,0.6,2.52,1.51,8.82,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Corn,Vegetative,Clay Loam,20.9,38.0,69.4,Low,1.8,Drip Irrigation,None / Healthy,0.85,4.1,3.48,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,4.36
Corn,Fruiting,Sandy Loam,22.5,37.0,66.9,None,0.0,Sprinkler (Overhead),None / Healthy,1.1,4.08,4.49,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Potato,Maturity,Loamy,21.4,24.8,71.1,None,0.0,Sprinkler (Overhead),None / Healthy,0.75,2.23,1.67,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,1.61
Soybean,Fruiting,Sandy Loam,12.7,34.6,80.3,Low,2.4,Sprinkler (Overhead),None / Healthy,1.05,3.14,3.3,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.77
Soybean,Maturity,Clay Loam,32.3,16.9,87.7,Moderate,12.6,Drip Irrigation,None / Healthy,0.5,2.0,1.0,7.55,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Seedling,Clay Loam,27.4,40.6,91.3,High,33.9,Drip Irrigation,Tomato Septoria Leaf Spot,0.6,3.9,2.34,24.63,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Pepper Bell,Fruiting,Sandy,28.7,35.9,28.5,None,0.0,Sprinkler (Overhead),None / Healthy,1.1,5.72,6.29,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Flowering,Black Soil,38.6,37.4,85.0,None,0.0,Drip Irrigation,Potato Late Blight,1.15,3.49,4.01,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Rice,Vegetative,Sandy,14.3,20.5,63.6,Moderate,16.5,Flood / Surface,Tomato Target Spot,1.15,2.0,2.3,10.7,15.0,6.0,DELAY_RAIN_EXPECTED,Low,0.0
Soybean,Seedling,Black Soil,21.8,24.6,72.9,None,0.0,Flood / Surface,Tomato Target Spot,0.4,2.15,0.86,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Maturity,Black Soil,37.4,35.5,81.7,Low,4.7,Drip Irrigation,None / Healthy,0.85,3.25,2.76,1.28,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Fruiting,Sandy,10.2,36.5,93.3,Low,3.8,Drip Irrigation,None / Healthy,1.25,3.37,4.21,0.52,15.0,6.0,MAINTENANCE_DRIP,Normal,4.34
Sugarcane,Vegetative,Sandy,16.7,33.5,48.8,None,0.0,Drip Irrigation,None / Healthy,0.85,4.34,3.69,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Rice,Fruiting,Clay Loam,17.9,24.9,37.2,None,0.0,Drip Irrigation,None / Healthy,1.2,3.2,3.84,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,4.59
Corn,Flowering,Sandy,9.2,21.6,30.0,None,0.0,Drip Irrigation,None / Healthy,1.2,2.78,3.34,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,4.51
Sugarcane,Vegetative,Sandy Loam,18.3,35.8,56.0,Moderate,17.8,Sub-surface Drip,Tomato Early Blight,0.85,4.41,3.75,11.77,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Flowering,Loamy,27.8,14.4,25.7,None,0.0,Sprinkler (Overhead),Tomato Early Blight,1.25,2.0,2.5,0.0,28.0,14.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Wheat,Flowering,Black Soil,21.2,24.6,38.1,Moderate,9.3,Sprinkler (Overhead),None / Healthy,1.15,3.12,3.59,4.9,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,4.14
Corn,Seedling,Sandy,14.6,27.9,55.7,None,0.0,Flood / Surface,Potato Late Blight,0.4,3.15,1.26,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Fruiting,Black Soil,34.4,27.4,51.5,Moderate,15.6,Drip Irrigation,None / Healthy,1.2,3.21,3.85,10.01,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Soybean,Fruiting,Sandy Loam,18.5,26.2,87.8,Low,2.7,Drip Irrigation,None / Healthy,1.05,2.14,2.25,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,2.49
Pepper Bell,Seedling,Black Soil,32.0,35.5,25.0,Low,1.2,Flood / Surface,None / Healthy,0.6,5.81,3.49,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,3.28
Pepper Bell,Seedling,Loamy,11.9,39.1,55.5,Low,4.3,Drip Irrigation,Tomato Early Blight,0.6,5.0,3.0,0.97,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.59
Wheat,Seedling,Black Soil,27.3,28.1,71.8,None,0.0,Sprinkler (Overhead),None / Healthy,0.4,2.63,1.05,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Sugarcane,Flowering,Black Soil,33.4,19.2,35.7,Moderate,11.1,Drip Irrigation,Pepper Bell Bacterial Spot,1.25,2.21,2.76,6.36,40.0,22.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Soybean,Vegetative,Black Soil,30.7,39.1,58.4,None,0.0,Drip Irrigation,Pepper Bell Bacterial Spot,0.7,4.85,3.39,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,3.62
Sugarcane,Maturity,Clay Loam,27.5,29.0,37.5,None,0.0,Drip Irrigation,Potato Late Blight,0.7,3.96,2.77,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,2.4
Pepper Bell,Seedling,Black Soil,31.9,29.6,64.0,Low,3.8,Sprinkler (Overhead),None / Healthy,0.6,3.12,1.87,0.56,40.0,22.0,MAINTENANCE_DRIP,Normal,1.9
Rice,Flowering,Black Soil,21.3,18.3,38.4,High,23.2,Drip Irrigation,Tomato Target Spot,1.25,2.0,2.5,16.04,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Rice,Seedling,Loamy,40.4,17.1,49.8,None,0.0,Sprinkler (Overhead),None / Healthy,1.05,2.0,2.1,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Seedling,Loamy,38.5,27.3,82.9,Moderate,9.3,Flood / Surface,None / Healthy,0.45,2.27,1.02,4.9,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Corn,Seedling,Clay Loam,19.1,22.1,63.6,None,0.0,Drip Irrigation,None / Healthy,0.4,2.07,0.83,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Potato,Vegetative,Black Soil,39.6,36.7,39.1,High,36.7,Drip Irrigation,None / Healthy,0.8,5.38,4.3,26.88,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Rice,Flowering,Sandy,12.8,40.1,94.3,Moderate,9.3,Flood / Surface,None / Healthy,1.25,3.84,4.8,4.9,15.0,6.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Cotton,Fruiting,Black Soil,35.0,37.1,34.0,Moderate,9.6,Drip Irrigation,Tomato Yellow Leaf Curl Virus,0.85,5.72,4.86,5.17,40.0,22.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Sugarcane,Maturity,Sandy Loam,21.9,24.6,54.7,Moderate,10.3,Drip Irrigation,None / Healthy,0.7,2.66,1.86,5.75,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Seedling,Sandy,15.9,29.2,52.4,Low,2.7,Drip Irrigation,Pepper Bell Bacterial Spot,0.45,3.47,1.56,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Corn,Maturity,Sandy,13.6,18.2,43.4,Moderate,9.7,Sprinkler (Overhead),None / Healthy,0.6,2.0,1.2,5.29,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Vegetative,Sandy Loam,18.5,17.1,83.5,Moderate,8.4,Sprinkler (Overhead),Tomato Target Spot,0.75,2.0,1.5,4.22,22.0,10.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Wheat,Maturity,Clay Loam,26.1,33.4,60.7,Moderate,9.8,Flood / Surface,None / Healthy,0.35,3.82,1.34,5.32,34.0,18.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Rice,Vegetative,Loamy,36.8,31.1,21.4,Low,5.4,Drip Irrigation,None / Healthy,1.15,4.99,5.74,1.79,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Corn,Maturity,Black Soil,41.6,31.0,51.8,None,0.0,Flood / Surface,None / Healthy,0.6,3.79,2.27,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Flowering,Sandy,11.8,17.5,89.1,High,41.6,Drip Irrigation,None / Healthy,1.2,2.0,2.4,30.79,15.0,6.0,DELAY_RAIN_EXPECTED,Low,0.0
Wheat,Seedling,Black Soil,47.6,17.2,51.1,Moderate,16.5,Drip Irrigation,Tomato Early Blight,0.4,2.0,0.8,10.7,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Potato,Flowering,Sandy,4.0,21.0,63.3,None,0.0,Sprinkler (Overhead),None / Healthy,1.15,2.0,2.3,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Tomato,Seedling,Black Soil,34.7,28.4,93.2,Low,3.3,Sprinkler (Overhead),Tomato Target Spot,0.6,2.4,1.44,0.14,40.0,22.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Rice,Seedling,Sandy,11.9,36.4,46.2,None,0.0,Drip Irrigation,None / Healthy,1.05,4.99,5.24,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,5.4
Pepper Bell,Vegetative,Sandy,4.2,26.3,50.1,Low,3.8,Flood / Surface,None / Healthy,0.8,3.08,2.46,0.54,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Soybean,Flowering,Sandy Loam,19.9,14.7,31.7,Low,4.6,Drip Irrigation,None / Healthy,1.15,2.0,2.3,1.16,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Flowering,Loamy,29.1,29.9,86.6,Low,3.8,Sprinkler (Overhead),None / Healthy,1.15,2.57,2.96,0.53,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Rice,Flowering,Clay Loam,28.8,23.1,26.5,None,0.0,Sub-surface Drip,None / Healthy,1.25,3.15,3.94,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,3.99
Potato,Vegetative,Sandy,14.7,24.2,22.6,None,0.0,Flood / Surface,Potato Late Blight,0.8,3.47,2.78,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Vegetative,Black Soil,40.8,17.9,85.1,High,31.7,Drip Irrigation,None / Healthy,0.85,2.0,1.7,22.84,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Tomato,Vegetative,Loamy,20.9,25.3,36.4,Moderate,14.1,Sprinkler (Overhead),None / Healthy,0.85,3.3,2.8,8.78,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Potato,Maturity,Loamy,23.5,27.9,25.0,Low,3.0,Flood / Surface,None / Healthy,0.75,4.18,3.13,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,3.26
Wheat,Vegetative,Black Soil,33.2,21.0,67.5,None,0.0,Drip Irrigation,None / Healthy,0.75,2.0,1.5,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,1.5
Potato,Fruiting,Loamy,24.3,15.9,82.8,None,0.0,Drip Irrigation,None / Healthy,1.15,2.0,2.3,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,2.47
Soybean,Flowering,Sandy Loam,23.4,21.6,60.5,High,23.2,Drip Irrigation,Tomato Early Blight,1.15,2.07,2.38,16.07,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Potato,Seedling,Sandy Loam,17.2,25.6,72.9,None,0.0,Sprinkler (Overhead),None / Healthy,0.5,2.28,1.14,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,1.5
Tomato,Maturity,Sandy,12.3,40.8,76.9,None,0.0,Sub-surface Drip,Tomato Yellow Leaf Curl Virus,0.8,4.11,3.29,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,3.2
Wheat,Seedling,Sandy Loam,23.7,40.4,23.0,None,0.0,Sprinkler (Overhead),None / Healthy,0.4,7.04,2.82,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Vegetative,Black Soil,34.4,19.4,28.6,None,0.0,Sprinkler (Overhead),Tomato Early Blight,0.7,2.39,1.67,0.0,40.0,22.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Corn,Flowering,Sandy Loam,22.0,24.2,62.1,Low,3.4,Sprinkler (Overhead),None / Healthy,1.2,2.4,2.88,0.22,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Fruiting,Sandy,11.4,28.6,52.0,Low,5.4,Sprinkler (Overhead),None / Healthy,1.05,3.38,3.55,1.81,15.0,6.0,MAINTENANCE_DRIP,Normal,3.48
Pepper Bell,Flowering,Clay Loam,45.2,31.6,85.5,None,0.0,Drip Irrigation,Tomato Septoria Leaf Spot,1.05,2.77,2.91,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Fruiting,Black Soil,39.5,22.3,84.0,None,0.0,Flood / Surface,None / Healthy,1.25,2.0,2.5,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Maturity,Sandy,5.7,40.6,79.0,None,0.0,Drip Irrigation,Pepper Bell Bacterial Spot,0.8,3.96,3.17,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.73
Rice,Flowering,Black Soil,18.5,37.5,37.3,Moderate,16.1,Sub-surface Drip,Tomato Septoria Leaf Spot,1.25,5.63,7.04,10.41,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Pepper Bell,Maturity,Black Soil,24.0,30.7,59.4,None,0.0,Sprinkler (Overhead),None / Healthy,0.85,3.45,2.93,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.64
Potato,Seedling,Loamy,18.6,30.6,63.5,None,0.0,Flood / Surface,Tomato Early Blight,0.5,3.28,1.64,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Sugarcane,Flowering,Sandy,4.7,40.1,75.1,None,0.0,Flood / Surface,None / Healthy,1.25,4.1,5.12,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,6.32
Cotton,Flowering,Black Soil,28.2,17.1,87.1,Low,6.0,Drip Irrigation,None / Healthy,1.2,2.0,2.4,2.27,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Vegetative,Loamy,13.3,38.3,38.4,Moderate,8.7,Flood / Surface,None / Healthy,0.8,5.75,4.6,4.48,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,5.76
Sugarcane,Maturity,Sandy Loam,20.3,38.7,85.4,Low,1.1,Drip Irrigation,Tomato Target Spot,0.7,3.65,2.55,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Vegetative,Clay Loam,26.5,22.0,66.3,Moderate,17.8,Sprinkler (Overhead),Potato Late Blight,0.75,2.0,1.5,11.73,34.0,18.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Rice,Maturity,Loamy,24.4,41.0,45.6,None,0.0,Drip Irrigation,Tomato Early Blight,0.95,5.89,5.6,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,5.5
Tomato,Fruiting,Sandy,28.6,15.3,85.4,None,0.0,Sprinkler (Overhead),None / Healthy,1.2,2.0,2.4,0.0,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Corn,Flowering,Loamy,28.5,23.1,56.6,None,0.0,Sprinkler (Overhead),Tomato Early Blight,1.2,2.38,2.86,0.0,28.0,14.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Potato,Vegetative,Black Soil,27.7,28.8,81.9,None,0.0,Sub-surface Drip,None / Healthy,0.8,2.43,1.94,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Corn,Flowering,Loamy,21.5,40.4,51.5,High,35.6,Flood / Surface,Tomato Target Spot,1.2,5.46,6.55,25.98,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Pepper Bell,Flowering,Sandy,11.4,19.6,85.1,Moderate,14.9,Drip Irrigation,None / Healthy,1.05,2.0,2.1,9.39,15.0,6.0,DELAY_RAIN_EXPECTED,Low,0.0
Rice,Fruiting,Sandy,4.0,37.7,77.1,Moderate,13.9,Flood / Surface,None / Healthy,1.2,3.67,4.4,8.61,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,5.54
Sugarcane,Seedling,Clay Loam,32.3,15.8,63.6,Low,2.3,Drip Irrigation,Tomato Septoria Leaf Spot,0.45,2.0,0.9,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Maturity,Sandy Loam,23.8,34.2,69.3,None,0.0,Sprinkler (Overhead),None / Healthy,0.8,3.56,2.85,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Flowering,Loamy,23.4,18.0,57.4,None,0.0,Drip Irrigation,None / Healthy,1.25,2.0,2.5,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,2.61
Rice,Vegetative,Clay Loam,30.0,16.3,81.8,Low,2.8,Drip Irrigation,None / Healthy,1.15,2.0,2.3,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,2.39
Potato,Vegetative,Clay Loam,28.7,14.9,90.2,Low,1.3,Drip Irrigation,None / Healthy,0.8,2.0,1.6,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,1.5
Rice,Vegetative,Clay Loam,29.2,16.2,87.1,None,0.0,Flood / Surface,None / Healthy,1.15,2.0,2.3,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,2.61
Sugarcane,Fruiting,Sandy Loam,17.2,32.2,55.9,Moderate,13.8,Drip Irrigation,None / Healthy,1.25,3.82,4.77,8.52,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Rice,Maturity,Black Soil,49.8,34.1,37.1,Low,6.0,Sprinkler (Overhead),None / Healthy,0.95,4.97,4.72,2.29,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Flowering,Black Soil,34.7,18.9,92.1,None,0.0,Drip Irrigation,Tomato Septoria Leaf Spot,1.05,2.0,2.1,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,2.0
Wheat,Fruiting,Clay Loam,28.2,28.4,64.1,High,19.8,Drip Irrigation,Tomato Early Blight,0.85,2.94,2.5,13.31,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Potato,Fruiting,Sandy Loam,20.8,24.7,54.9,None,0.0,Sub-surface Drip,None / Healthy,1.15,2.68,3.08,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Rice,Fruiting,Sandy Loam,17.7,15.9,52.8,High,21.5,Drip Irrigation,Tomato Target Spot,1.2,2.0,2.4,14.73,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Soybean,Seedling,Clay Loam,32.4,41.1,39.4,None,0.0,Sprinkler (Overhead),None / Healthy,0.4,6.28,2.51,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Rice,Fruiting,Clay Loam,31.4,26.4,44.8,Low,3.2,Sub-surface Drip,Pepper Bell Bacterial Spot,1.2,3.24,3.89,0.1,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Fruiting,Loamy,22.6,24.6,65.4,None,0.0,Sub-surface Drip,None / Healthy,0.85,2.37,2.01,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,2.12
Rice,Fruiting,Clay Loam,20.8,17.4,37.3,None,0.0,Sprinkler (Overhead),None / Healthy,1.2,2.0,2.4,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Maturity,Black Soil,33.8,33.3,49.8,None,0.0,Drip Irrigation,None / Healthy,0.85,4.26,3.62,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,3.63
Rice,Flowering,Sandy Loam,23.9,22.6,72.9,Low,2.0,Drip Irrigation,Tomato Yellow Leaf Curl Virus,1.25,2.0,2.5,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Maturity,Black Soil,20.8,41.4,48.1,None,0.0,Sub-surface Drip,None / Healthy,0.8,5.83,4.66,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,5.91
